Job_Roles,text,avg_exp,salary,locations,skills
Analyst,analyst caia center artificial intelligence advance analytics chennai pune bengaluru hyderabad business intelligence artificial intelligence natural language process neural network data mine machine learn deep learn sql,1.5,350000 - 450000 ,"Chennai, Pune, Bengaluru, Hyderabad","Business Intelligence
Artificial Intelligence
Natural Language Processing
Neural Networks
Data Mining
Machine Learning
Deep Learning
SQL"
Machine Learning Engineer,machine learn engineer carbynetech india hyderabad business intelligence artificial intelligence natural language process neural network data mine machine learn deep learn sql,5.5,Not disclosed,Hyderabad,"Business Intelligence
Artificial Intelligence
Natural Language Processing
Neural Networks
Data Mining
Machine Learning
Deep Learning
SQL"
Machine Learning Engineer,machine learn engineer carbynetech india hyderabad predictive model data scientist data management machine learn python sql,5.5,Not disclosed,Hyderabad,"Predictive Modeling
R
Data Scientist
Data Management
Machine Learning
Python
SQL"
Data Scientist,data scientist flipkart internet private limit bengaluru pytorch tensorflow data science nlp algorithms product selection image process classification,4.5,Not disclosed,Bengaluru,"Pytorch
Tensorflow
Data Science
NLP
Algorithms
Product Selection
Image Processing
Classification"
Data Scientist,data scientist groupon share service pvt ltd bengaluru natural language process machine learn python,6.0,Not disclosed,Bengaluru,"Natural Language Processing
Machine Learning
Python"
Data Scientist,data scientist netapp india private limit bengaluru product management automation data analysis consult bill business intelligence ruby sql,15.0,Not disclosed,Bengaluru,"Product management
Automation
Data analysis
Consulting
Billing
Business intelligence
Ruby
SQL"
Manager,manager huquo consult pvt ltd bengaluru data science predictive model nlp data scientist data management machine learn python,5.5,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
Data Scientist
Data Management
Machine Learning
Python"
Machine Learning Engineer,machine learn engineer dream inc mumbai backend nginx cassandra mysql machine learn manager technology mongodb rpm,6.5,Not disclosed,Mumbai,"Backend
nginx
cassandra
MySQL
Machine learning
Manager Technology
MongoDB
RPM"
Data Scientist,data scientist sitel india pvt ltd mumbai hyderabad pytorch data science supervise learn nlp natural language process keras machine learn deep learn,9.5,700000 - 1600000 ,"Mumbai, Hyderabad","Pytorch
Data Science
Supervised Learning
NLP
Natural Language Processing
Keras
Machine Learning
Deep Learning"
Data Scientist,data scientist kinara capital bengaluru stage indira nagar data analysis statistical analytics mathematics machine learn business intelligence financial service sql engineer,6.0,Not disclosed,Bengaluru(1st Stage Indira Nagar +1),"data analysis
statistical analytics
Mathematics
machine learning
business intelligence
financial services
sql
Engineering"
Machine Learning Engineer,machine learn engineer lericon informatics pvt ltd delhi ncr delhi ncr data science azure data scientist data architect data management statistical model machine learn python,6.5,Not disclosed,Delhi/NCR Delhi NCR,"Data Science
Azure
Data Scientist
Data Architect
Data Management
Statistical Modeling
Machine Learning
Python"
Data Scientist,data scientist wallethub delhi ncr bengaluru hyderabad data science azure data scientist data architect data management statistical model machine learn python,15.0,2500000 - 4000000 ,"Delhi NCR, Bengaluru, Hyderabad","Data Science
Azure
Data Scientist
Data Architect
Data Management
Statistical Modeling
Machine Learning
Python"
Data Scientist,data scientist axis bank limit chennai bengaluru hyderabad reinforcement learn deep learn python pytorch keras tensorflow,6.0,Not disclosed,"Chennai, Bengaluru, Hyderabad","Reinforcement Learning
Deep Learning
Python
pytorch
Keras
TensorFlow"
Machine Learning Engineer,machine learn engineer rpa infotech pvt ltd gurgaon reinforcement learn deep learn python pytorch keras tensorflow,4.5,Not disclosed,Gurgaon,"Reinforcement Learning
Deep Learning
Python
pytorch
Keras
TensorFlow"
Machine Learning Engineer,machine learn engineer bion bengaluru reinforcement learn deep learn python pytorch keras tensorflow,10.5,Not disclosed,Bengaluru,"Reinforcement Learning
Deep Learning
Python
pytorch
Keras
TensorFlow"
Machine Learning Engineer,machine learn engineer bion bengaluru reinforcement learn deep learn python pytorch keras tensorflow,9.0,Not disclosed,Bengaluru,"Reinforcement Learning
Deep Learning
Python
pytorch
Keras
TensorFlow"
Data Scientist,data scientist bayer bengaluru backend nginx cassandra mysql machine learn manager technology mongodb rpm,10.0,Not disclosed,Bengaluru,"Backend
nginx
cassandra
MySQL
Machine learning
Manager Technology
MongoDB
RPM"
Data Scientist,data scientist walmart labs bengaluru train computer vision deep learn data science neural network machine learn agile wellness,4.5,Not disclosed,Bengaluru,"Training
Computer vision
deep learning
data science
Neural networks
Machine learning
Agile
Wellness"
Data Scientist,data scientist webi digital consultant llp bengaluru marathahalli pytorch tensorflow data science rnn nlp artificial intelligence machine learn deep learn,4.5,Not disclosed,Bengaluru(Marathahalli),"Pytorch
Tensorflow
Data Science
Rnn
NLP
Artificial Intelligence
Machine Learning
Deep Learning"
Data Scientist,data scientist niit ltd bengaluru data science java algorithms scala problem solve data mine mathematics,5.5,500000 - 1500000 ,Bengaluru,"Data Science
Java
R
Algorithms
SCALA
Problem Solving
Data Mining
Mathematics"
Data Scientist,data scientist walmart labs bengaluru data science java algorithms scala problem solve data mine mathematics,7.0,Not disclosed,Bengaluru,"Data Science
Java
R
Algorithms
SCALA
Problem Solving
Data Mining
Mathematics"
Data Scientist,data scientist levi strauss bengaluru supply chain computer science cloud compute automation network machine learn open source,7.5,Not disclosed,Bengaluru,"Supply chain
Computer science
Cloud computing
C++
Automation
Networking
Machine learning
Open source"
Data Scientist,data scientist mahindra mahindra financial service limit mumbai worli data science python artificial intelligence neural network data process analytics,3.0,Not disclosed,Mumbai(Worli),"Data Science
R
Python
Artificial Intelligence
Neural Networks
Data Processing
Analytics"
Data Scientist,data scientist pra health sciences india graphics sas analytical clinical trials clinical development clinical research associate clinical data management clinical data,5.0,Not disclosed,India,"Graphics
SAS
Analytical
Clinical trials
clinical development
Clinical Research Associate
Clinical data management
clinical data"
Data Scientist,data scientist fanatics inc hyderabad supply chain computer science operations research analytical demand forecast machine learn scala agile,8.0,Not disclosed,Hyderabad,"Supply chain
Computer science
Operations research
Analytical
Demand forecasting
Machine learning
SCALA
Agile"
Data Scientist,data scientist axis bank limit chennai bengaluru hyderabad natural language process deep learn python pytorch tensorflow nlp algorithms artificial intelligence,6.0,Not disclosed,"Chennai, Bengaluru, Hyderabad","Natural Language Processing
Deep Learning
Python
Pytorch
Tensorflow
NLP
Algorithms
Artificial Intelligence"
Data Scientist,data scientist snaphunt bengaluru data science clear financial service bank operations linux machine learn statistical analysis statistics,10.5,Not disclosed,Bengaluru,"Data Science
Clearing
Financial Services
Banking Operations
Linux
Machine Learning
Statistical Analysis
Statistics"
Data Scientist,data scientist bloom consult service bengaluru computer science risk analytics online market machine learn risk management operations financial service sql,4.0,Not disclosed,Bengaluru,"Computer science
Risk analytics
Online marketing
Machine learning
Risk management
Operations
Financial services
SQL"
Data Scientist,data scientist acko general bengaluru statistical analysis network data science analytical machine learn http scientist data mine,4.5,Not disclosed,Bengaluru,"Statistical analysis
Networking
data science
Analytical
Machine learning
HTTP
Scientist 1
Data mining"
Data Scientist,data scientist narayana hrudayalaya ltd bengaluru change management nlp algorithms business analytics image process neural network data scientist medical image,2.5,Not disclosed,Bengaluru,"Change Management
NLP
Algorithms
Business Analytics
Image Processing
Neural Networks
data scientist
Medical Imaging"
Machine Learning Engineer,machine learn engineer execboardinasia bengaluru change management nlp algorithms business analytics image process neural network data scientist medical image,7.5,Not disclosed,Bengaluru,"Change Management
NLP
Algorithms
Business Analytics
Image Processing
Neural Networks
data scientist
Medical Imaging"
Data Scientist,data scientist luxoft bengaluru computer science social media cms html http adobe ims sql,12.5,Not disclosed,Bengaluru,"Computer science
Social media
CMS
HTML
HTTP
Adobe
IMS
SQL"
